ReadableTime,RelativeTime(s),engine_power,Force_1,Force_2,ECU_CylinderTemp,ECU_ExhaustTemp,ECU_FuelPressure,ECU_IntakePressure,ECU_IntakeTemp,ECU_RotorTemp,ECU_Speed,ECU_SupplyVoltage,ECU_ThrottlePosition,Torque,engine_force,Modbus_slave1_seg1,Modbus_slave1_seg2,Modbus_slave1_seg3,Modbus_slave2_seg1,Modbus_slave2_seg2,Modbus_slave2_seg3,Modbus_slave2_seg4,Temperature_Sensor_1,Temperature_Sensor_2,Temperature_Sensor_3
21:47:15.315,8.188,0.202093,-0.174512,-0.371841,-11.490000,-9.250000,37.000000,11.000000,-27.000000,-23.000000,918.000000,3.000000,9.200000,-47.050506,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.580000,25.740000,27.540000
21:47:15.426,8.299,0.202093,-0.075848,-0.273177,-11.490000,-9.250000,37.000000,11.000000,-27.000000,-23.000000,918.000000,3.000000,9.200000,-47.050506,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.580000,25.740000,27.540000
21:47:15.538,8.411,0.967083,0.022816,-0.174512,-1.440000,45.750000,63.000000,19.000000,-18.000000,-10.000000,1573.000000,5.000000,15.700000,-47.050506,0.614801,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.580000,25.740000,27.540000
21:47:15.644,8.517,0.191089,-0.174512,-0.273177,-1.440000,45.750000,63.000000,19.000000,-18.000000,-10.000000,1573.000000,5.000000,15.700000,-47.050506,0.121480,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.580000,25.740000,27.540000
21:47:15.752,8.625,-0.412722,-0.174512,-0.273177,16.560000,177.750000,95.000000,28.000000,-7.000000,5.000000,2365.000000,7.000000,23.700001,-47.050506,-0.174512,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.740000,27.540000
21:47:15.862,8.735,0.520642,-0.075848,-0.174512,16.560000,177.750000,95.000000,28.000000,-7.000000,5.000000,2365.000000,7.000000,23.700001,-47.050506,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.740000,27.540000
21:47:15.969,8.842,0.718112,-0.174512,-0.273177,45.750000,402.000000,131.000000,39.000000,6.000000,22.000000,3262.000000,10.000000,32.599998,-47.050506,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.740000,27.540000
21:47:16.078,8.951,1.039954,-0.075848,-0.273177,45.750000,402.000000,131.000000,39.000000,6.000000,22.000000,3262.000000,10.000000,32.599998,-47.050506,0.318809,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.740000,27.540000
21:47:16.188,9.061,0.823121,-0.075848,-0.273177,64.560000,557.750000,150.000000,45.000000,12.000000,31.000000,3739.000000,11.000000,37.400002,-37.184082,0.220145,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.740000,27.540000
21:47:16.297,9.170,2.438749,-0.075848,-0.174512,111.710000,942.750000,189.000000,57.000000,26.000000,50.000000,4725.000000,14.000000,47.200001,-37.184082,0.516137,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000,26.570000,25.740000,27.540000
