ReadableTime,RelativeTime(s),Dev1_Strain_Gauge_1,Dev1_Strain_Gauge_2,Dev1_Temperature_TC1,Dev1_Vibration_X,Dev1_Vibration_Y,SerialPort1_Modbus_Temperature_Sensor_1,SerialPort1_Modbus_Temperature_Sensor_2,SerialPort2_Modbus_Modbus_slave1_seg1,SerialPort2_Modbus_Modbus_slave1_seg2,SerialPort2_Modbus_Modbus_slave1_seg3,SerialPort2_Modbus_Modbus_slave2_seg1,SerialPort2_Modbus_Modbus_slave2_seg2,SerialPort2_Modbus_Modbus_slave2_seg3,SerialPort2_Modbus_Modbus_slave2_seg4
23:44:38.548,6.971,0.611825,-9.100018,0.001141,-0.013659,-0.018592,26.130000,25.780000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:38.657,7.080,0.611825,-9.100018,0.001141,-0.018592,-0.018592,26.130000,25.780000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:38.767,7.190,1.581132,-9.100041,-0.003792,-0.018592,-0.018592,26.130000,25.780000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:38.877,7.300,1.581132,-9.100018,0.001141,-0.008726,-0.018592,26.130000,25.780000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:38.985,7.408,0.611825,-9.099995,0.001141,-0.018592,-0.018592,26.130000,25.780000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:39.098,7.521,1.581132,-9.100018,0.001141,-0.013659,-0.023525,26.130000,25.780000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:39.202,7.625,1.581132,-9.100041,0.001141,-0.013659,-0.013659,26.130000,25.780000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:39.311,7.734,1.581132,-9.099995,0.001141,-0.013659,-0.028458,26.130000,25.780000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:39.421,7.844,1.581132,-9.100041,0.001141,-0.013659,-0.013659,26.140000,25.780000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:39.532,7.955,0.128632,-9.100018,0.001141,-0.013659,-0.018592,26.140000,25.780000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:39.640,8.063,1.581132,-9.100018,0.001141,-0.013659,-0.018592,26.140000,25.780000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:39.749,8.172,2.554332,-9.100041,-0.003792,-0.018592,-0.018592,26.140000,25.780000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:39.861,8.284,1.581132,-9.100018,-0.003792,-0.013659,-0.018592,26.140000,25.780000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:39.970,8.393,1.095992,-9.100041,-0.003792,-0.013659,-0.013659,26.140000,25.780000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:40.078,8.501,1.581132,-9.100018,-0.003792,-0.018592,-0.018592,26.140000,25.780000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:40.187,8.610,2.067245,-9.099971,0.006074,-0.003792,-0.003792,26.140000,25.780000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:40.296,8.719,1.581132,-9.099995,0.015940,0.001141,-0.003792,26.140000,25.780000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:40.405,8.828,1.581132,-9.100018,0.001141,-0.008726,-0.008726,26.140000,25.780000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:40.517,8.940,1.095992,-9.100018,0.001141,-0.008726,-0.008726,26.140000,25.780000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:40.625,9.048,1.581132,-9.100018,0.001141,-0.008726,-0.008726,26.140000,25.780000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:40.734,9.157,1.581132,-9.099995,0.006074,-0.008726,-0.008726,26.140000,25.780000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:40.844,9.267,1.581132,-9.100018,0.006074,-0.008726,-0.008726,26.140000,25.770000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:40.954,9.377,1.581132,-9.099995,0.001141,-0.013659,-0.008726,26.140000,25.770000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:41.061,9.484,1.581132,-9.100087,-0.008726,-0.018592,-0.008726,26.140000,25.770000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:41.173,9.596,1.581132,-9.100018,0.001141,-0.008726,-0.008726,26.140000,25.780000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:41.282,9.705,1.095992,-9.100018,0.006074,-0.008726,-0.008726,26.140000,25.780000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:41.390,9.813,1.581132,-9.099995,0.006074,-0.008726,-0.008726,26.140000,25.780000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:41.499,9.922,1.095992,-9.100018,0.001141,-0.013659,-0.008726,26.140000,25.780000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:41.609,10.032,1.581132,-9.100041,-0.003792,-0.018592,-0.023525,26.140000,25.780000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:41.720,10.143,2.067245,-9.100018,0.001141,-0.008726,-0.008726,26.140000,25.780000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:41.830,10.253,1.581132,-9.100018,0.001141,-0.003792,-0.013659,26.140000,25.780000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:41.937,10.360,0.611825,-9.100018,0.006074,-0.013659,-0.018592,26.140000,25.780000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:42.048,10.471,2.067245,-9.099995,0.001141,-0.018592,-0.018592,26.140000,25.780000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:42.159,10.582,1.581132,-9.100018,-0.003792,-0.013659,-0.018592,26.140000,25.780000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:42.266,10.689,2.067245,-9.100018,0.001141,-0.013659,-0.018592,26.140000,25.780000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:42.377,10.800,1.581132,-9.100018,-0.003792,-0.018592,-0.028458,26.140000,25.780000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
23:44:42.485,10.908,1.581132,-9.100064,-0.003792,-0.013659,-0.013659,26.140000,25.780000,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
